,Unnamed: 0,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind,day_int,day
2,1202,min_segment_dur_majority_vote,0.9857213075944116,0.8095238095238095,0.8338698169979121,0.63892196826641,600,1,TweetyNet,1.4278692405588544,bl26lb16,6,1,
6,1206,min_segment_dur_majority_vote,0.9852268686554314,0.7619047619047619,0.7873620452795256,0.80830106904306,600,2,TweetyNet,1.477313134456859,bl26lb16,6,1,
10,1210,min_segment_dur_majority_vote,0.9861812995966194,0.7619047619047619,0.8326909393656766,0.58460994392239,600,3,TweetyNet,1.3818700403380624,bl26lb16,6,1,
14,1214,min_segment_dur_majority_vote,0.9852599014952472,1.0476190476190477,0.8002169627320318,0.9792054868082999,600,4,TweetyNet,1.4740098504752883,bl26lb16,6,1,
18,1218,min_segment_dur_majority_vote,0.9857357776308382,0.4761904761904761,0.8381687548546208,0.32302416197642997,600,5,TweetyNet,1.4264222369161803,bl26lb16,6,1,
22,1222,min_segment_dur_majority_vote,0.9859612782850968,0.8571428571428571,0.8182894665193929,1.34176346066753,600,6,TweetyNet,1.4038721714903168,bl26lb16,6,1,
26,1226,min_segment_dur_majority_vote,0.9875577533672713,0.4761904761904761,0.8545404982522458,0.33295932888535,600,7,TweetyNet,1.2442246632728748,bl26lb16,6,1,
30,1230,min_segment_dur_majority_vote,0.9866082338953476,0.5714285714285714,0.8605986822935189,0.42850193894390004,600,8,TweetyNet,1.3391766104652314,bl26lb16,6,1,
34,1234,min_segment_dur_majority_vote,0.9865825140324924,0.6666666666666666,0.8465848505578754,0.44189593329517,600,9,TweetyNet,1.341748596750747,bl26lb16,6,1,
38,1238,min_segment_dur_majority_vote,0.98565158556169,0.7619047619047619,0.8194188229663785,0.5363778942073,600,10,TweetyNet,1.4348414438310142,bl26lb16,6,1,
42,1482,min_segment_dur_majority_vote,0.9829984868646604,1.5172413793103448,0.623934834267209,2.8091099196536398,600,1,TweetyNet,1.7001513135339708,gr41rd51,6,1,
46,1486,min_segment_dur_majority_vote,0.983683617989506,1.5172413793103448,0.6158882406422275,2.71910461307371,600,2,TweetyNet,1.6316382010494013,gr41rd51,6,1,
50,1490,min_segment_dur_majority_vote,0.985091777587913,1.0689655172413792,0.6651709934172442,2.10518654925231,600,3,TweetyNet,1.4908222412087002,gr41rd51,6,1,
54,1494,min_segment_dur_majority_vote,0.985718291090594,1.103448275862069,0.6624574274811713,1.90574256743579,600,4,TweetyNet,1.4281708909405944,gr41rd51,6,1,
58,1498,min_segment_dur_majority_vote,0.984153596641723,1.4482758620689655,0.6536697255349463,2.63456785292105,600,5,TweetyNet,1.5846403358277028,gr41rd51,6,1,
62,1502,min_segment_dur_majority_vote,0.986103631663476,1.103448275862069,0.6840639715822466,1.99116006341695,600,6,TweetyNet,1.3896368336523968,gr41rd51,6,1,
66,1506,min_segment_dur_majority_vote,0.986040036579555,0.9655172413793104,0.6966049130490843,1.6804937661329102,600,7,TweetyNet,1.3959963420445032,gr41rd51,6,1,
70,1510,min_segment_dur_majority_vote,0.9854015931182154,1.103448275862069,0.6618079915952169,2.17739630501167,600,8,TweetyNet,1.4598406881784598,gr41rd51,6,1,
74,1514,min_segment_dur_majority_vote,0.9866731868749375,1.0,0.6825423160572098,1.87383729885378,600,9,TweetyNet,1.332681312506245,gr41rd51,6,1,
78,1518,min_segment_dur_majority_vote,0.9860147103047632,1.103448275862069,0.6704561817622827,2.01518295626511,600,10,TweetyNet,1.3985289695236935,gr41rd51,6,1,
82,1762,min_segment_dur_majority_vote,0.9811386231288276,0.6944444444444444,0.8070100998523146,0.92048178164392,600,1,TweetyNet,1.8861376871172288,gy6or6,6,1,
86,1766,min_segment_dur_majority_vote,0.9809749406755324,0.6388888888888888,0.8169194676229177,0.87190197498644,600,2,TweetyNet,1.902505932446763,gy6or6,6,1,
90,1770,min_segment_dur_majority_vote,0.984174565364763,0.5,0.8359805765609487,0.70466802880815,600,3,TweetyNet,1.5825434635237,gy6or6,6,1,
94,1774,min_segment_dur_majority_vote,0.9828929886327172,0.4722222222222222,0.8245225247822432,0.62113119537277,600,4,TweetyNet,1.7107011367282876,gy6or6,6,1,
98,1778,min_segment_dur_majority_vote,0.984089424738327,0.6944444444444444,0.8232660544922695,0.98367354919063,600,5,TweetyNet,1.5910575261673054,gy6or6,6,1,
102,1782,min_segment_dur_majority_vote,0.9819092868950156,0.6944444444444444,0.8184046906874481,0.9613985313771399,600,6,TweetyNet,1.8090713104984333,gy6or6,6,1,
106,1786,min_segment_dur_majority_vote,0.984598785336013,0.3888888888888889,0.8456043817566455,0.554730487806,600,7,TweetyNet,1.5401214663987028,gy6or6,6,1,
110,1790,min_segment_dur_majority_vote,0.9838072054968108,0.4444444444444444,0.8414437033720286,0.63774656970017,600,8,TweetyNet,1.6192794503189225,gy6or6,6,1,
114,1794,min_segment_dur_majority_vote,0.9805575298274636,0.6111111111111112,0.8061879533201284,0.94009498992549,600,9,TweetyNet,1.9442470172536308,gy6or6,6,1,
118,1798,min_segment_dur_majority_vote,0.981721776653475,0.6388888888888888,0.812324072933809,0.8857342135408,600,10,TweetyNet,1.827822334652496,gy6or6,6,1,
122,2042,min_segment_dur_majority_vote,0.986337896159768,0.1875,0.8682850391673277,0.3339458244601,600,1,TweetyNet,1.366210384023192,or60yw70,6,1,
126,2046,min_segment_dur_majority_vote,0.986043886042446,0.34375,0.8427990412440852,0.77491752220425,600,2,TweetyNet,1.3956113957554028,or60yw70,6,1,
130,2050,min_segment_dur_majority_vote,0.9854872613971938,0.34375,0.8391300823836414,0.6030923916433001,600,3,TweetyNet,1.451273860280622,or60yw70,6,1,
134,2054,min_segment_dur_majority_vote,0.9860614062139398,0.40625,0.8479310257009295,0.80548672745755,600,4,TweetyNet,1.3938593786060216,or60yw70,6,1,
138,2058,min_segment_dur_majority_vote,0.9859670438106336,0.375,0.8473147976848301,0.65747438587742,600,5,TweetyNet,1.4032956189366508,or60yw70,6,1,
142,2062,min_segment_dur_majority_vote,0.9846768235047276,0.46875,0.8220683059963034,0.7984163894980699,600,6,TweetyNet,1.5323176495272262,or60yw70,6,1,
146,2066,min_segment_dur_majority_vote,0.987090471726496,0.21875,0.8897345454202763,0.34730269636961003,600,7,TweetyNet,1.2909528273504,or60yw70,6,1,
150,2070,min_segment_dur_majority_vote,0.9862641354398052,0.40625,0.8508519493385505,0.8919355603491601,600,8,TweetyNet,1.373586456019482,or60yw70,6,1,
154,2074,min_segment_dur_majority_vote,0.9856483924884424,0.4375,0.8336462896661607,1.1800204454735201,600,9,TweetyNet,1.4351607511557618,or60yw70,6,1,
158,2078,min_segment_dur_majority_vote,0.9855161657998388,0.3125,0.8478160411264165,0.74624846584241,600,10,TweetyNet,1.4483834200161083,or60yw70,6,1,
162,2,min_segment_dur_majority_vote,0.98537102537892,1.6612903225806452,0.7147268326076586,4.230689080141739,600,1,TweetyNet,1.4628974621079929,bl26lb16,0,2,2012-04-20
166,6,min_segment_dur_majority_vote,0.9840546137730288,1.85483870967742,0.6896531070596796,4.48104108429832,600,2,TweetyNet,1.594538622697106,bl26lb16,0,2,2012-04-20
170,10,min_segment_dur_majority_vote,0.9847469206013983,1.7741935483870968,0.702120823404813,4.82290717511506,600,3,TweetyNet,1.5253079398601654,bl26lb16,0,2,2012-04-20
174,14,min_segment_dur_majority_vote,0.9852722152554052,1.7096774193548387,0.7049323648222272,4.09978954189182,600,4,TweetyNet,1.4727784744594907,bl26lb16,0,2,2012-04-20
178,18,min_segment_dur_majority_vote,0.9837955321706732,1.6612903225806452,0.6903744516237207,4.98533055241563,600,5,TweetyNet,1.620446782932694,bl26lb16,0,2,2012-04-20
182,22,min_segment_dur_majority_vote,0.9856184444850048,1.6774193548387095,0.7075133669762086,4.23801393038146,600,6,TweetyNet,1.4381555514995314,bl26lb16,0,2,2012-04-20
186,26,min_segment_dur_majority_vote,0.9860301507255118,1.4193548387096775,0.7406846421993445,3.87860983302492,600,7,TweetyNet,1.3969849274488189,bl26lb16,0,2,2012-04-20
190,30,min_segment_dur_majority_vote,0.9846016075166474,1.870967741935484,0.7032883241480888,4.7021828056016295,600,8,TweetyNet,1.539839248335262,bl26lb16,0,2,2012-04-20
194,34,min_segment_dur_majority_vote,0.9853683776847948,2.2096774193548385,0.6940372231122305,7.42475301009652,600,9,TweetyNet,1.4631622315205317,bl26lb16,0,2,2012-04-20
198,38,min_segment_dur_majority_vote,0.9851130248593374,1.4838709677419355,0.7155363009790608,4.75649526334166,600,10,TweetyNet,1.4886975140662615,bl26lb16,0,2,2012-04-20
202,42,min_segment_dur_majority_vote,0.9859623115790634,1.9523809523809523,0.6677451087041365,2.53118500916725,600,1,TweetyNet,1.4037688420936556,bl26lb16,0,3,2012-04-21
206,46,min_segment_dur_majority_vote,0.9849419316526477,1.7857142857142858,0.6664643725027057,2.45723263815962,600,2,TweetyNet,1.505806834735235,bl26lb16,0,3,2012-04-21
210,50,min_segment_dur_majority_vote,0.985672544771812,2.0476190476190474,0.6714258856487968,2.68109889529451,600,3,TweetyNet,1.4327455228187902,bl26lb16,0,3,2012-04-21
214,54,min_segment_dur_majority_vote,0.9856799988375806,1.7142857142857142,0.6621230195242278,2.48340469634802,600,4,TweetyNet,1.4320001162419382,bl26lb16,0,3,2012-04-21
218,58,min_segment_dur_majority_vote,0.9855753511900496,1.738095238095238,0.6680202190195349,2.31696663113112,600,5,TweetyNet,1.4424648809950424,bl26lb16,0,3,2012-04-21
222,62,min_segment_dur_majority_vote,0.9868404672107042,1.761904761904762,0.7014030917726009,2.49539631592176,600,6,TweetyNet,1.3159532789295825,bl26lb16,0,3,2012-04-21
226,66,min_segment_dur_majority_vote,0.9866990647356444,1.5476190476190477,0.7007139044778157,2.14189205669766,600,7,TweetyNet,1.3300935264355718,bl26lb16,0,3,2012-04-21
230,70,min_segment_dur_majority_vote,0.9859529668537956,2.071428571428572,0.6696846276084631,2.97875651671275,600,8,TweetyNet,1.4047033146204255,bl26lb16,0,3,2012-04-21
234,74,min_segment_dur_majority_vote,0.98588349847374,3.0,0.6577168839482301,4.17882460832626,600,9,TweetyNet,1.4116501526259873,bl26lb16,0,3,2012-04-21
238,78,min_segment_dur_majority_vote,0.9858568123067508,1.9523809523809523,0.6697929418677223,2.58523914318703,600,10,TweetyNet,1.4143187693249182,bl26lb16,0,3,2012-04-21
242,82,min_segment_dur_majority_vote,0.98167736797982,1.6851851851851851,0.5657757870268908,3.8228501103921597,600,1,TweetyNet,1.832263202018014,gr41rd51,0,2,2012-06-20
246,86,min_segment_dur_majority_vote,0.9845359498743268,1.1666666666666667,0.6419487125009683,2.61132458864433,600,2,TweetyNet,1.54640501256732,gr41rd51,0,2,2012-06-20
250,90,min_segment_dur_majority_vote,0.9841709224543124,1.2962962962962965,0.6370799594978153,3.1775803331335095,600,3,TweetyNet,1.582907754568752,gr41rd51,0,2,2012-06-20
254,94,min_segment_dur_majority_vote,0.9856105326579082,1.0185185185185186,0.6951974337434969,2.32703843987976,600,4,TweetyNet,1.4389467342091788,gr41rd51,0,2,2012-06-20
258,98,min_segment_dur_majority_vote,0.9799576095532336,1.907407407407408,0.531152589494669,4.39956663656957,600,5,TweetyNet,2.0042390446766367,gr41rd51,0,2,2012-06-20
262,102,min_segment_dur_majority_vote,0.9839980174171886,1.351851851851852,0.5706858672975389,3.0582977970722203,600,6,TweetyNet,1.600198258281138,gr41rd51,0,2,2012-06-20
266,106,min_segment_dur_majority_vote,0.9844714930244818,1.1666666666666667,0.6233307316130184,2.71885504514686,600,7,TweetyNet,1.552850697551822,gr41rd51,0,2,2012-06-20
270,110,min_segment_dur_majority_vote,0.9858785953417922,0.9814814814814816,0.65529382885771,2.328789766804,600,8,TweetyNet,1.412140465820777,gr41rd51,0,2,2012-06-20
274,114,min_segment_dur_majority_vote,0.9851590942539457,1.0,0.6738512273771912,2.3492395482265698,600,9,TweetyNet,1.4840905746054456,gr41rd51,0,2,2012-06-20
278,118,min_segment_dur_majority_vote,0.9863485555824404,0.925925925925926,0.6945441229213907,2.18191817070908,600,10,TweetyNet,1.36514444175595,gr41rd51,0,2,2012-06-20
282,122,min_segment_dur_majority_vote,0.9815247923880724,1.4623655913978495,0.6323541898839783,2.74714791074741,600,1,TweetyNet,1.8475207611927669,gr41rd51,0,3,2012-06-22
286,126,min_segment_dur_majority_vote,0.98195013479431,1.3064516129032258,0.644458659595925,2.43902757614867,600,2,TweetyNet,1.8049865205689963,gr41rd51,0,3,2012-06-22
290,130,min_segment_dur_majority_vote,0.9825870090856572,1.1451612903225807,0.6741952011284187,2.1882321217704797,600,3,TweetyNet,1.7412990914342783,gr41rd51,0,3,2012-06-22
294,134,min_segment_dur_majority_vote,0.9844357247002228,1.010752688172043,0.6911369687161122,1.9001882375653498,600,4,TweetyNet,1.556427529977733,gr41rd51,0,3,2012-06-22
298,138,min_segment_dur_majority_vote,0.9800253237161924,1.5,0.5872147173290236,2.8584096376891197,600,5,TweetyNet,1.9974676283807669,gr41rd51,0,3,2012-06-22
302,142,min_segment_dur_majority_vote,0.98376502429598,1.1666666666666667,0.6489625627774089,2.20707325058345,600,6,TweetyNet,1.6234975704019885,gr41rd51,0,3,2012-06-22
306,146,min_segment_dur_majority_vote,0.9842297524615105,1.053763440860215,0.6898560456652116,2.017835953618,600,7,TweetyNet,1.5770247538489546,gr41rd51,0,3,2012-06-22
310,150,min_segment_dur_majority_vote,0.9827213489262312,1.2258064516129032,0.6497137202721579,2.29968180619754,600,8,TweetyNet,1.7278651073768692,gr41rd51,0,3,2012-06-22
314,154,min_segment_dur_majority_vote,0.9835969090446904,1.064516129032258,0.6656630534593628,2.02772096395559,600,9,TweetyNet,1.6403090955309674,gr41rd51,0,3,2012-06-22
318,158,min_segment_dur_majority_vote,0.9842864468406172,1.021505376344086,0.6874259190348747,1.94735399593461,600,10,TweetyNet,1.5713553159382831,gr41rd51,0,3,2012-06-22
322,162,min_segment_dur_majority_vote,0.9813598377019764,1.9411764705882355,0.5967931262642286,3.4242084557977495,600,1,TweetyNet,1.8640162298023453,gr41rd51,0,4,2012-06-23
326,166,min_segment_dur_majority_vote,0.9831764210629154,1.5916955017301038,0.6269257096544499,2.81892303097361,600,2,TweetyNet,1.6823578937084638,gr41rd51,0,4,2012-06-23
330,170,min_segment_dur_majority_vote,0.9833699669655892,1.4325259515570934,0.6553326582841048,2.5947980098519,600,3,TweetyNet,1.6630033034410796,gr41rd51,0,4,2012-06-23
334,174,min_segment_dur_majority_vote,0.9847486686447844,1.2629757785467128,0.6523729427075605,2.21231072853075,600,4,TweetyNet,1.5251331355215505,gr41rd51,0,4,2012-06-23
338,178,min_segment_dur_majority_vote,0.980768439822026,1.8615916955017304,0.5768557764421705,3.32343066848374,600,5,TweetyNet,1.9231560177974003,gr41rd51,0,4,2012-06-23
342,182,min_segment_dur_majority_vote,0.983243190351385,1.5916955017301038,0.5925052253854813,2.72953661919243,600,6,TweetyNet,1.6756809648615034,gr41rd51,0,4,2012-06-23
346,186,min_segment_dur_majority_vote,0.9847463953998388,1.3044982698961938,0.6545229327166314,2.35994816621055,600,7,TweetyNet,1.525360460016123,gr41rd51,0,4,2012-06-23
350,190,min_segment_dur_majority_vote,0.984419296829179,1.3494809688581315,0.6281038620751297,2.35787757219765,600,8,TweetyNet,1.5580703170821053,gr41rd51,0,4,2012-06-23
354,194,min_segment_dur_majority_vote,0.9855429775472798,1.200692041522491,0.6647602107027824,2.17385609087843,600,9,TweetyNet,1.445702245272018,gr41rd51,0,4,2012-06-23
358,198,min_segment_dur_majority_vote,0.9851570444995748,1.2525951557093429,0.6692634106643726,2.24683877707144,600,10,TweetyNet,1.4842955500425137,gr41rd51,0,4,2012-06-23
362,202,min_segment_dur_majority_vote,0.982032104284826,0.4933333333333333,0.8292042931710398,0.8879303776606701,600,1,TweetyNet,1.7967895715173987,gy6or6,0,2,2012-03-23
366,206,min_segment_dur_majority_vote,0.9839507026067464,0.6,0.8343720624779136,1.20706897047989,600,2,TweetyNet,1.604929739325356,gy6or6,0,2,2012-03-23
370,210,min_segment_dur_majority_vote,0.984739316243029,0.42,0.8671626727646243,0.78998976131724,600,3,TweetyNet,1.5260683756970983,gy6or6,0,2,2012-03-23
374,214,min_segment_dur_majority_vote,0.9842870413554884,0.3133333333333333,0.8663260605541023,0.54574041428545,600,4,TweetyNet,1.57129586445115,gy6or6,0,2,2012-03-23
378,218,min_segment_dur_majority_vote,0.985500197063648,0.4333333333333333,0.8614932334223634,0.8965070999827099,600,5,TweetyNet,1.4499802936352002,gy6or6,0,2,2012-03-23
382,222,min_segment_dur_majority_vote,0.9825331156671592,0.94,0.8036119548674755,2.2171669216699197,600,6,TweetyNet,1.7466884332840826,gy6or6,0,2,2012-03-23
386,226,min_segment_dur_majority_vote,0.985017110271206,0.3733333333333333,0.8664633241271823,0.66049012963568,600,7,TweetyNet,1.4982889728794024,gy6or6,0,2,2012-03-23
390,230,min_segment_dur_majority_vote,0.9845729014332844,0.3466666666666667,0.8757731137183047,0.64284996157462,600,8,TweetyNet,1.5427098566715536,gy6or6,0,2,2012-03-23
394,234,min_segment_dur_majority_vote,0.9842165772057432,0.42,0.8643135381155767,0.82140898977457,600,9,TweetyNet,1.5783422794256707,gy6or6,0,2,2012-03-23
398,238,min_segment_dur_majority_vote,0.9810265987158712,0.9066666666666666,0.8056221808354985,2.1389449367896,600,10,TweetyNet,1.8973401284128832,gy6or6,0,2,2012-03-23
402,242,min_segment_dur_majority_vote,0.9841060519918076,0.2125603864734299,0.8910331667236037,0.37749206386784,600,1,TweetyNet,1.5893948008192549,gy6or6,0,3,2012-03-24
406,246,min_segment_dur_majority_vote,0.985557242097626,0.323671497584541,0.8953180314376126,0.56514652296207,600,2,TweetyNet,1.4442757902373926,gy6or6,0,3,2012-03-24
410,250,min_segment_dur_majority_vote,0.9861617965026052,0.1835748792270531,0.9166871331383836,0.29288872975173,600,3,TweetyNet,1.383820349739473,gy6or6,0,3,2012-03-24
414,254,min_segment_dur_majority_vote,0.9856468795617346,0.1884057971014492,0.9023710105342456,0.29731850825885,600,4,TweetyNet,1.435312043826542,gy6or6,0,3,2012-03-24
418,258,min_segment_dur_majority_vote,0.9866752133704302,0.217391304347826,0.9144535007865136,0.34246270197251,600,5,TweetyNet,1.3324786629569818,gy6or6,0,3,2012-03-24
422,262,min_segment_dur_majority_vote,0.9858044917609478,0.3381642512077294,0.9006588299905429,0.60572849662732,600,6,TweetyNet,1.4195508239052246,gy6or6,0,3,2012-03-24
426,266,min_segment_dur_majority_vote,0.9863155225941233,0.2222222222222222,0.917897550952218,0.33691158348891,600,7,TweetyNet,1.368447740587686,gy6or6,0,3,2012-03-24
430,270,min_segment_dur_majority_vote,0.9860040456164084,0.1594202898550724,0.9172343990691256,0.26036749438304,600,8,TweetyNet,1.399595438359158,gy6or6,0,3,2012-03-24
434,274,min_segment_dur_majority_vote,0.9852667339379068,0.2270531400966183,0.9063246826660836,0.39653813094087,600,9,TweetyNet,1.473326606209313,gy6or6,0,3,2012-03-24
438,278,min_segment_dur_majority_vote,0.9844942863044622,0.3719806763285024,0.8952740512516935,0.63491552936485,600,10,TweetyNet,1.550571369553777,gy6or6,0,3,2012-03-24
442,282,min_segment_dur_majority_vote,0.98254851421287,0.4102564102564102,0.8342635354578235,0.6651309022052,600,1,TweetyNet,1.7451485787130072,gy6or6,0,4,2012-03-26
446,286,min_segment_dur_majority_vote,0.9842826383664708,0.9743589743589745,0.8382189650851611,1.61553925825847,600,2,TweetyNet,1.5717361633529103,gy6or6,0,4,2012-03-26
450,290,min_segment_dur_majority_vote,0.9843472578712164,0.3846153846153846,0.8666296895041237,0.60415534421395,600,3,TweetyNet,1.5652742128783648,gy6or6,0,4,2012-03-26
454,294,min_segment_dur_majority_vote,0.9844996191442528,0.4102564102564102,0.8748224522810836,0.6289723664772,600,4,TweetyNet,1.5500380855747231,gy6or6,0,4,2012-03-26
458,298,min_segment_dur_majority_vote,0.9855085758725332,0.4871794871794871,0.8744074909264921,0.8271492595684999,600,5,TweetyNet,1.4491424127466734,gy6or6,0,4,2012-03-26
462,302,min_segment_dur_majority_vote,0.9836064579411892,0.9487179487179488,0.8233539405755125,1.49988955899657,600,6,TweetyNet,1.639354205881094,gy6or6,0,4,2012-03-26
466,306,min_segment_dur_majority_vote,0.9848854745842056,0.3846153846153846,0.8698551860177057,0.57223490047448,600,7,TweetyNet,1.51145254157945,gy6or6,0,4,2012-03-26
470,310,min_segment_dur_majority_vote,0.9847181788202668,0.358974358974359,0.8638038635461331,0.58873195397142,600,8,TweetyNet,1.5281821179733313,gy6or6,0,4,2012-03-26
474,314,min_segment_dur_majority_vote,0.983976381746382,0.4615384615384615,0.8682991197546708,0.7830910633363899,600,9,TweetyNet,1.6023618253617866,gy6or6,0,4,2012-03-26
478,318,min_segment_dur_majority_vote,0.9816430736908236,0.9230769230769232,0.809084696601656,1.52392082409101,600,10,TweetyNet,1.835692630917629,gy6or6,0,4,2012-03-26
482,322,min_segment_dur_majority_vote,0.9877272765062336,0.4,0.8886265203522095,0.48199983606987,600,1,TweetyNet,1.2272723493766513,or60yw70,0,2,2012-09-27
486,326,min_segment_dur_majority_vote,0.9883307967366431,0.4769230769230769,0.8671520448640465,0.66867126771331,600,2,TweetyNet,1.166920326335685,or60yw70,0,2,2012-09-27
490,330,min_segment_dur_majority_vote,0.9864360823947992,0.4461538461538462,0.874795121797268,0.52808994152,600,3,TweetyNet,1.3563917605200817,or60yw70,0,2,2012-09-27
494,334,min_segment_dur_majority_vote,0.9864845482640224,0.5846153846153846,0.8560212973336685,0.79580329757455,600,4,TweetyNet,1.3515451735977568,or60yw70,0,2,2012-09-27
498,338,min_segment_dur_majority_vote,0.9874031795498748,0.4615384615384615,0.8725088235178956,0.72729342169911,600,5,TweetyNet,1.2596820450125223,or60yw70,0,2,2012-09-27
502,342,min_segment_dur_majority_vote,0.9856468317118344,0.5384615384615384,0.8618023269282697,0.67509289355079,600,6,TweetyNet,1.4353168288165463,or60yw70,0,2,2012-09-27
506,346,min_segment_dur_majority_vote,0.9882292686634544,0.4923076923076923,0.8874613261106871,0.56997378143838,600,7,TweetyNet,1.1770731336545714,or60yw70,0,2,2012-09-27
510,350,min_segment_dur_majority_vote,0.9866761914148968,0.5692307692307692,0.8627649087410003,0.9315904715520301,600,8,TweetyNet,1.332380858510318,or60yw70,0,2,2012-09-27
514,354,min_segment_dur_majority_vote,0.9871897397374176,0.5076923076923077,0.8602479934963705,0.73671243885155,600,9,TweetyNet,1.2810260262582365,or60yw70,0,2,2012-09-27
518,358,min_segment_dur_majority_vote,0.9852659701143026,0.6153846153846154,0.8631674942019346,0.7567581051014399,600,10,TweetyNet,1.4734029885697386,or60yw70,0,2,2012-09-27
522,362,min_segment_dur_majority_vote,0.9870339604419556,0.3473684210526316,0.8940691540015263,0.45906178343649,600,1,TweetyNet,1.2966039558044318,or60yw70,0,3,2012-09-29
526,366,min_segment_dur_majority_vote,0.9864030797789348,0.5157894736842106,0.8471848428505198,1.01299088035651,600,2,TweetyNet,1.3596920221065067,or60yw70,0,3,2012-09-29
530,370,min_segment_dur_majority_vote,0.9862881574549794,0.3894736842105263,0.8774218547938734,0.56131919727383,600,3,TweetyNet,1.3711842545020558,or60yw70,0,3,2012-09-29
534,374,min_segment_dur_majority_vote,0.9867405056517932,0.3894736842105263,0.8756565928757699,0.70413957534653,600,4,TweetyNet,1.3259494348206724,or60yw70,0,3,2012-09-29
538,378,min_segment_dur_majority_vote,0.9873206303459878,0.3789473684210526,0.8894285726787173,0.61853669130945,600,5,TweetyNet,1.2679369654012174,or60yw70,0,3,2012-09-29
542,382,min_segment_dur_majority_vote,0.9866184817875028,0.5157894736842106,0.8743081729262279,0.7263143162378299,600,6,TweetyNet,1.3381518212497334,or60yw70,0,3,2012-09-29
546,386,min_segment_dur_majority_vote,0.9872751409443064,0.3684210526315789,0.8902462166388165,0.70985946542255,600,7,TweetyNet,1.272485905569365,or60yw70,0,3,2012-09-29
550,390,min_segment_dur_majority_vote,0.986687176455054,0.4526315789473684,0.8598415897252938,0.84733610471873,600,8,TweetyNet,1.3312823544946115,or60yw70,0,3,2012-09-29
554,394,min_segment_dur_majority_vote,0.9870758210099244,0.3789473684210526,0.890000372356056,0.5527092326291599,600,9,TweetyNet,1.2924178990075696,or60yw70,0,3,2012-09-29
558,398,min_segment_dur_majority_vote,0.986243252610934,0.4210526315789473,0.8728304219458577,0.7118861395309299,600,10,TweetyNet,1.375674738906596,or60yw70,0,3,2012-09-29
562,402,min_segment_dur_majority_vote,0.985870468820878,0.3164556962025316,0.8651947621593975,0.52910937886483,600,1,TweetyNet,1.4129531179121968,or60yw70,0,4,2012-09-30
566,406,min_segment_dur_majority_vote,0.9860843001036952,0.4683544303797468,0.8424596130177334,0.6773627853455899,600,2,TweetyNet,1.3915699896304812,or60yw70,0,4,2012-09-30
570,410,min_segment_dur_majority_vote,0.9856788970976842,0.3291139240506329,0.8687895302316708,0.56082421955549,600,3,TweetyNet,1.4321102902315808,or60yw70,0,4,2012-09-30
574,414,min_segment_dur_majority_vote,0.98586367837772,0.430379746835443,0.8634253000107275,0.91378124161446,600,4,TweetyNet,1.4136321622280068,or60yw70,0,4,2012-09-30
578,418,min_segment_dur_majority_vote,0.9868828290272292,0.3164556962025316,0.8798701532076577,0.61322129136098,600,5,TweetyNet,1.3117170972770764,or60yw70,0,4,2012-09-30
582,422,min_segment_dur_majority_vote,0.9854958988041224,0.4556962025316455,0.8480043180535566,0.7873930233840599,600,6,TweetyNet,1.450410119587775,or60yw70,0,4,2012-09-30
586,426,min_segment_dur_majority_vote,0.9872263890979602,0.3037974683544304,0.8856349614233407,0.46103150904717993,600,7,TweetyNet,1.2773610902039767,or60yw70,0,4,2012-09-30
590,430,min_segment_dur_majority_vote,0.9858769921459258,0.4683544303797468,0.844842279998394,0.82075545310908,600,8,TweetyNet,1.4123007854074163,or60yw70,0,4,2012-09-30
594,434,min_segment_dur_majority_vote,0.9865007859928996,0.3291139240506329,0.8632441718895185,0.55078515778368,600,9,TweetyNet,1.3499214007100302,or60yw70,0,4,2012-09-30
598,438,min_segment_dur_majority_vote,0.9855432554874446,0.379746835443038,0.8565632989565858,0.7489441048651301,600,10,TweetyNet,1.4456744512555408,or60yw70,0,4,2012-09-30
