,Species,Model,Input to model,animal_id,train_set_dur,mean_seg_err,median_seg_err,std_seg_err
0,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,30,1.0446301919764367,1.0556068504965,0.7456802632350523
1,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,45,0.5758916958144151,0.503356517065355,0.20942269218189516
2,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,75,0.803367655130312,0.36715623535877995,0.9879325992529712
3,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,120,0.32234497337045803,0.30117681446448497,0.1368817819955621
4,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,180,0.234579448872487,0.254926306339875,0.1052108599370821
5,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,480,0.18864593259030898,0.181072406610435,0.052919018535915595
6,Bengalese_Finches,SVM,"segmented audio, manually cleaned",bl26lb16,600,0.15877756069286297,0.157222560589455,0.04012147270851789
7,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,30,2.5326719538284292,2.30404977779472,0.9194366606715012
8,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,45,1.968053846627292,1.907938270425975,0.4043345426289648
9,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,75,1.916381203981555,1.8876795828399748,0.25522924830135874
10,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,120,1.6370398281838827,1.646952747263555,0.17705091080546448
11,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,180,1.639680852952353,1.6311268878107201,0.1746455958932683
12,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,480,1.419317218807615,1.4323864153385748,0.19302302697971335
13,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gr41rd51,600,1.4894241565368167,1.390829148487235,0.3013268501347616
14,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,30,0.990594588179867,0.90124085478263,0.45009079687437253
15,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,45,0.704234743686126,0.7109061523980351,0.30474965910020546
16,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,75,0.24883768382967805,0.234871277309005,0.12919948993979474
17,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,120,0.200905171703588,0.15708467142752,0.10827623874896457
18,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,180,0.118203366718281,0.11943063118309499,0.03268685856406343
19,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,480,0.087349024484765,0.07384585289514001,0.028509449315611758
20,Bengalese_Finches,SVM,"segmented audio, manually cleaned",gy6or6,600,0.084868899901052,0.078167426957745,0.02631876154078005
21,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,30,0.5942130400643569,0.5890099601240549,0.2860122645367763
22,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,45,0.406044301588825,0.387649378113565,0.13691836105656396
23,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,75,0.21736401415479198,0.189031554152105,0.10906770327099058
24,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,120,0.21174417322850303,0.210848248666165,0.07376723631462682
25,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,180,0.172197790527489,0.16000553298521,0.09170863774002543
26,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,480,0.08584653049550299,0.08059896292551,0.0347338827956076
27,Bengalese_Finches,SVM,"segmented audio, manually cleaned",or60yw70,600,0.056602813093893,0.05360916320844,0.01653950064188862
28,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,30,7.103794451445715,7.06609656675863,0.7489151847537646
29,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,45,6.657471820441904,6.58607211299375,0.2071141720236926
30,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,75,6.896911018732536,6.42199713497119,1.03001888619069
31,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,120,6.404015152685703,6.37876160456727,0.1426820799057349
32,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,180,6.309939952337828,6.3280822242673,0.10185261700759869
33,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,480,6.268220511066184,6.25532309476288,0.04749553996945754
34,Bengalese_Finches,SVM,"segmented audio, not cleaned",bl26lb16,600,6.231933478620283,6.230378478516874,0.04012147270851799
35,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,30,11.305579023214225,11.042656481929036,0.9835993337226537
36,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,45,10.587629098258475,10.509631440119335,0.4351933079557706
37,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,75,10.564822152607993,10.55584591246432,0.28831568817132347
38,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,120,10.254092465645993,10.226088582663746,0.22219081046001926
39,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,180,10.283175143710743,10.243273910781344,0.15572274727219018
40,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,480,10.107479939096423,10.054722936964371,0.18048815177358762
41,Bengalese_Finches,SVM,"segmented audio, not cleaned",gr41rd51,600,10.217678922259338,10.103722957210115,0.3312867791173565
42,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,30,5.777234231401704,5.665372811264314,0.5120853021309183
43,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,45,5.544563802386062,5.54506597875788,0.34071288988685455
44,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,75,5.076068709291016,5.054548387834339,0.14836963106344217
45,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,120,4.99335274765367,5.00866843817894,0.18636846972783808
46,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,180,4.925756694739792,4.9353392394888544,0.09869740285505846
47,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,480,4.67819805078263,4.668473100737485,0.08186810941001665
48,Bengalese_Finches,SVM,"segmented audio, not cleaned",gy6or6,600,4.735893137453042,4.74368956456148,0.11555646368737704
49,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,30,4.173239980079748,4.121287448326955,0.27182335507655236
50,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,45,4.020238952004552,3.9929416380178004,0.15676869182314357
51,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,75,3.8112484383274152,3.78419756828448,0.11233201114558557
52,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,120,3.816931458580373,3.802682859544265,0.0724336964072137
53,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,180,3.771247503956313,3.7584509821894403,0.10098938090329532
54,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,480,3.7116819582100398,3.70509049964767,0.03050381777739121
55,Bengalese_Finches,SVM,"segmented audio, not cleaned",or60yw70,600,3.6709270247517574,3.6878188987889104,0.04093610426196554
56,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,30,1.5818003094388629,1.527682063503835,0.7486251544336829
57,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,45,1.14324577241004,1.06818306129888,0.2030286858979721
58,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,75,1.378579880388685,0.92242310159134,1.029741198742253
59,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,120,0.882021010678848,0.860872552872405,0.14114087148620147
60,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,180,0.792050900642959,0.810193172572435,0.10185261700759984
61,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,480,0.7503314593713191,0.73743404306801,0.04749553996945699
62,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",bl26lb16,600,0.714044426925416,0.71248942682201,0.04012147270852009
63,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,30,3.8858522917850116,3.6423812695085003,0.944042636057446
64,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,45,3.3051550136507997,3.190309561760415,0.4011886645712461
65,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,75,3.236279565409762,3.19020446728341,0.2611327218055299
66,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,120,2.913627191712286,2.888442312182495,0.2192677797130298
67,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,180,2.909506891261011,2.883065773523805,0.14306087792428931
68,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,480,2.663385391329971,2.663777341930165,0.1650935503404203
69,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gr41rd51,600,2.76186427242207,2.63460717102289,0.3255486411389887
70,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,30,4.155487458396545,4.043626038259155,0.5120853021309182
71,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,45,3.9228170293809015,3.92331920575272,0.3407128898868545
72,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,75,3.4576288145927334,3.4404297361549654,0.1475560249542781
73,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,120,3.3716059746485114,3.386921665173775,0.18636846972783622
74,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,180,3.3040099217346315,3.313592466483695,0.09869740285505857
75,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,480,3.05645127777747,3.046726327732325,0.08186810941001707
76,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",gy6or6,600,3.114146364447882,3.12194279155632,0.1155564636873772
77,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,30,1.1966332542852993,1.124432788648215,0.27926603110655485
78,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,45,1.0311322262101048,1.00900020147955,0.15640957710673378
79,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,75,0.829889646417266,0.81316935488673,0.11338736411198717
80,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,120,0.835572666670226,0.80582819986552,0.07316409751827947
81,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,180,0.7847234227899641,0.7615963225106901,0.1032130969943118
82,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,480,0.725157877043693,0.7199103094737,0.03473388279560759
83,Bengalese_Finches,SVM,"segmented audio, semi-automated cleaning",or60yw70,600,0.686985588213511,0.69292050975663,0.03419008142723111
84,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,30,5.099877039711375,5.322516328923459,2.1769295697864033
85,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,45,4.2908963382306675,4.5316031526182945,1.6348504184788717
86,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,75,4.209836675679795,2.07883151208451,4.046699466524558
87,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,120,1.895989496436286,1.4247315275734,1.1828734840248332
88,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,180,1.447259936328233,0.95571060614174,1.1098109896684536
89,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,480,0.42348197558407497,0.39685578834593,0.14150857230122327
90,Bengalese_Finches,TweetyNet,spectrogram,bl26lb16,600,0.6415561186015839,0.560493919064845,0.3211722313576578
91,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,30,5.9665879956202295,5.691305229690665,1.4212776565235163
92,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,45,5.3089889922104785,4.9621857119824995,1.4737237649763115
93,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,75,4.209730523238698,4.2982946018827946,1.03280985057873
94,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,120,3.290087255770392,2.9607003511540153,0.6738616342093454
95,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,180,3.1826744982795416,3.0582555589617497,0.5488245522922148
96,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,480,2.226416801219399,2.236047161106025,0.3606476657451611
97,Bengalese_Finches,TweetyNet,spectrogram,gr41rd51,600,2.1911781892016924,2.06018475275871,0.3913912104235698
98,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,30,4.636627561326561,4.75487481992957,1.0152510678790623
99,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,45,3.7566671194419783,3.69965525195756,1.0029533057389173
100,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,75,2.424615834232676,2.5257117127006303,0.5339939473503414
101,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,120,1.7838037941818399,1.685987302635415,0.3981116211655517
102,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,180,1.48944319111563,1.508527092234835,0.23808825057375277
103,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,480,0.9231907869846088,0.889640518632435,0.25045280321303603
104,Bengalese_Finches,TweetyNet,spectrogram,gy6or6,600,0.8081561322351509,0.8788180942636199,0.16102052740683465
105,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,30,3.681412120530885,3.662354307613585,0.7401275384708932
106,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,45,2.9569960359617253,2.8970688430943348,0.5995275916857143
107,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,75,1.9877385100853828,1.859267875078765,0.3656124522645665
108,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,120,1.9485635678723312,1.855068645463415,0.48592660814792066
109,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,180,1.709438854413601,1.655701809023915,0.3346214281130466
110,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,480,0.9096022758534861,0.944231473102485,0.21930675443999353
111,Bengalese_Finches,TweetyNet,spectrogram,or60yw70,600,0.7138840409175391,0.76058299402333,0.25021914227042963
112,Canaries,SVM,"segmented audio, manually cleaned",llb11,190,6.322278003875863,6.22164664049598,1.2297706460632636
113,Canaries,SVM,"segmented audio, manually cleaned",llb11,240,6.138751613861736,5.100142755831779,1.913476444110486
114,Canaries,SVM,"segmented audio, manually cleaned",llb11,300,5.864681977572076,5.358108551013499,1.600482885261256
115,Canaries,SVM,"segmented audio, manually cleaned",llb11,360,4.891097833135218,4.70262064109986,0.9410432855711285
116,Canaries,SVM,"segmented audio, manually cleaned",llb11,420,5.459690601740948,5.40229172580027,1.0096820190702407
117,Canaries,SVM,"segmented audio, manually cleaned",llb11,480,4.052568844181448,4.15344078181478,0.30095826222602273
118,Canaries,SVM,"segmented audio, manually cleaned",llb11,540,3.9212814540613623,3.75531431250251,0.5159747850895813
119,Canaries,SVM,"segmented audio, manually cleaned",llb11,600,4.058027959040346,3.8617582310365,0.5444292260967981
120,Canaries,SVM,"segmented audio, manually cleaned",llb11,660,3.6182989297417008,3.6642828014910296,0.23643843436150033
121,Canaries,SVM,"segmented audio, manually cleaned",llb16,190,8.916128424300338,8.96395110277412,0.7879011164345432
122,Canaries,SVM,"segmented audio, manually cleaned",llb16,240,8.331945692742769,7.66087784087397,1.2661689155664506
123,Canaries,SVM,"segmented audio, manually cleaned",llb16,300,7.939669124486999,7.137192778173721,1.247796429196401
124,Canaries,SVM,"segmented audio, manually cleaned",llb16,360,7.508452517615646,7.600835700809309,0.5097711451884401
125,Canaries,SVM,"segmented audio, manually cleaned",llb16,420,6.778956846662085,6.633532684421479,0.6298805799714674
126,Canaries,SVM,"segmented audio, manually cleaned",llb16,480,8.123467128247006,7.61488100941532,1.7363994438449597
127,Canaries,SVM,"segmented audio, manually cleaned",llb16,540,6.6189408752006775,6.790419235042661,0.6627554571933276
128,Canaries,SVM,"segmented audio, manually cleaned",llb16,600,6.15860055851874,6.1519094067777,0.4229827580045453
129,Canaries,SVM,"segmented audio, manually cleaned",llb16,660,6.315499826876369,6.03437036112299,0.8286175917751942
130,Canaries,SVM,"segmented audio, manually cleaned",llb3,120,6.480071267932748,6.11573769292202,0.8822360335557291
131,Canaries,SVM,"segmented audio, manually cleaned",llb3,180,4.787510811797175,4.7565080620816,0.7558534447581843
132,Canaries,SVM,"segmented audio, manually cleaned",llb3,240,4.15933434746706,3.5672817198261098,1.270122270081195
133,Canaries,SVM,"segmented audio, manually cleaned",llb3,300,3.7237855858082543,3.6632066239616403,0.32504319531837483
134,Canaries,SVM,"segmented audio, manually cleaned",llb3,360,3.3017187266844314,3.2539056943459204,0.3835806783308948
135,Canaries,SVM,"segmented audio, manually cleaned",llb3,420,3.0728313479729814,3.02169853546917,0.22958355300040892
136,Canaries,SVM,"segmented audio, manually cleaned",llb3,480,3.1158607125037725,2.70465886960383,0.7496217609969568
137,Canaries,SVM,"segmented audio, manually cleaned",llb3,540,2.638717200671816,2.5003072339514603,0.5107406652942343
138,Canaries,SVM,"segmented audio, manually cleaned",llb3,600,2.579698784311666,2.68341861855792,0.23956740506737934
139,Canaries,SVM,"segmented audio, manually cleaned",llb3,660,2.485185345253513,2.61896345440514,0.27252624568728084
140,Canaries,SVM,"segmented audio, not cleaned",llb11,190,103.91041898253845,103.51278329747504,3.153679528948891
141,Canaries,SVM,"segmented audio, not cleaned",llb11,240,102.17920415398319,103.10741300153097,1.8533029628521163
142,Canaries,SVM,"segmented audio, not cleaned",llb11,300,102.31492984894443,102.80107408718808,2.1001819577463494
143,Canaries,SVM,"segmented audio, not cleaned",llb11,360,101.65684566289292,101.7174838685715,1.940269240391516
144,Canaries,SVM,"segmented audio, not cleaned",llb11,420,100.47837161502518,100.22360243571795,1.7576353342868467
145,Canaries,SVM,"segmented audio, not cleaned",llb11,480,100.91613188926848,101.56780827265305,2.496867169667582
146,Canaries,SVM,"segmented audio, not cleaned",llb11,540,100.11407857459903,99.91012153847517,1.5250600262068548
147,Canaries,SVM,"segmented audio, not cleaned",llb11,600,99.15902116781923,99.70178984382669,2.0897226812554375
148,Canaries,SVM,"segmented audio, not cleaned",llb11,660,100.64072333925778,102.02778386075839,2.21306530891802
149,Canaries,SVM,"segmented audio, not cleaned",llb16,190,17.981396200573023,17.74626784318846,0.7369588944594204
150,Canaries,SVM,"segmented audio, not cleaned",llb16,240,17.352354080100742,16.93572415837033,1.1939390728022694
151,Canaries,SVM,"segmented audio, not cleaned",llb16,300,17.213626258665037,16.92152177574613,1.099743378418685
152,Canaries,SVM,"segmented audio, not cleaned",llb16,360,16.71391740450407,16.727612616209,0.47392162801558935
153,Canaries,SVM,"segmented audio, not cleaned",llb16,420,16.20276278843385,16.258564118283083,0.5026462880655873
154,Canaries,SVM,"segmented audio, not cleaned",llb16,480,17.17147794281575,16.99920368019951,1.504237915636228
155,Canaries,SVM,"segmented audio, not cleaned",llb16,540,16.204176599052094,16.35453730959394,0.5356806036005894
156,Canaries,SVM,"segmented audio, not cleaned",llb16,600,15.472438580159865,15.430914764657341,0.43303220599384057
157,Canaries,SVM,"segmented audio, not cleaned",llb16,660,15.596359365560076,15.784820667916641,0.7198461833929208
158,Canaries,SVM,"segmented audio, not cleaned",llb3,120,30.269737715769605,30.12845724347677,1.0179362695464285
159,Canaries,SVM,"segmented audio, not cleaned",llb3,180,28.826228857884807,28.00738473076586,1.6853945513177735
160,Canaries,SVM,"segmented audio, not cleaned",llb3,240,27.70454562144218,27.922445310902127,1.6819606177164041
161,Canaries,SVM,"segmented audio, not cleaned",llb3,300,27.06233310447356,27.27544222761324,1.380617134124669
162,Canaries,SVM,"segmented audio, not cleaned",llb3,360,26.79704282119125,26.786921928707542,1.2737294619411315
163,Canaries,SVM,"segmented audio, not cleaned",llb3,420,26.344190665352322,26.01222284074929,1.0417031356908721
164,Canaries,SVM,"segmented audio, not cleaned",llb3,480,26.294825040801577,26.025890692157212,1.0477883583989511
165,Canaries,SVM,"segmented audio, not cleaned",llb3,540,25.41920122743713,25.044925508689047,1.1358010362605628
166,Canaries,SVM,"segmented audio, not cleaned",llb3,600,25.606736624918963,25.565683367366372,0.8583308175752049
167,Canaries,SVM,"segmented audio, not cleaned",llb3,660,25.13864758661835,24.99368952600777,1.0474952780263571
168,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,190,64.35107117756436,64.3129867947908,2.7346569359953574
169,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,240,62.85938666171249,63.29409488243354,1.3961194673104025
170,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,300,62.82763097699673,63.42730958901467,1.4704264195608647
171,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,360,62.51026212453366,62.63741313448076,1.7585866552015248
172,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,420,61.43968403857657,61.39306343049225,1.1916694939830534
173,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,480,61.44619480840607,62.32048230157066,1.9102426666580707
174,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,540,60.88091042363851,60.9070633760361,1.2958013759787192
175,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,600,59.97111948436543,60.95573377368022,1.8864550831794995
176,Canaries,SVM,"segmented audio, semi-automated cleaning",llb11,660,61.33042089403064,61.97183831669513,1.8840615575647277
177,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,190,14.093525795668679,13.88686242340103,0.6827532507187619
178,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,240,13.620525379094035,13.15819008623526,1.1450621200452322
179,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,300,13.281235643175474,12.91653608402002,1.0178711878267266
180,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,360,12.951992702946239,12.927507264395349,0.4660299463577241
181,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,420,12.51852209127594,12.719223081091998,0.5972893227955552
182,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,480,13.533555810562973,13.350087617540021,1.5087717144019177
183,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,540,12.452021648488003,12.49765949911265,0.48843945644753106
184,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,600,11.739898480349888,11.665717824972429,0.3366221550229858
185,Canaries,SVM,"segmented audio, semi-automated cleaning",llb16,660,11.934967923190555,11.91390346526828,0.720842597525323
186,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,120,27.97895579320608,27.851727446784007,1.09630078629164
187,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,180,26.633634031377962,25.76116323335787,1.605659513875755
188,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,240,25.56441490545193,25.83587934636824,1.611204434043253
189,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,300,24.910662431690817,25.03496474383338,1.4028563014152402
190,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,360,24.6704634158134,24.75804237496718,1.2442825124979222
191,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,420,24.25139800053746,23.97282134852301,1.0713162734874309
192,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,480,24.19898404563156,24.05254078212365,1.0222823382507646
193,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,540,23.29658083118725,22.95686372383008,1.0925447657670373
194,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,600,23.493088875496117,23.50082721651028,0.8225698831786932
195,Canaries,SVM,"segmented audio, semi-automated cleaning",llb3,660,23.027315404117697,22.90247147953428,1.0312753559668566
196,Canaries,TweetyNet,spectrogram,llb11,190,14.480136856228905,14.16233628277133,2.8786103625452744
197,Canaries,TweetyNet,spectrogram,llb11,240,11.405313378167222,9.02134608223705,7.202060760064024
198,Canaries,TweetyNet,spectrogram,llb11,300,9.4963984451267,7.79522855941545,3.6554912836582587
199,Canaries,TweetyNet,spectrogram,llb11,360,8.33799568380285,8.11424376422012,2.662229070382737
200,Canaries,TweetyNet,spectrogram,llb11,420,9.209683173138178,9.031055429457071,1.5054384574610182
201,Canaries,TweetyNet,spectrogram,llb11,480,7.2808647096110475,6.6559974335456005,1.6390500239651475
202,Canaries,TweetyNet,spectrogram,llb11,540,7.011737504455884,6.53814355335048,1.6294233287029418
203,Canaries,TweetyNet,spectrogram,llb11,600,6.673748140918067,6.25894227946241,0.9787184373130181
204,Canaries,TweetyNet,spectrogram,llb11,660,6.282787480115677,5.53082309636639,2.053996108660634
205,Canaries,TweetyNet,spectrogram,llb16,190,8.073460239474143,7.82894042895774,0.63070518506803
206,Canaries,TweetyNet,spectrogram,llb16,240,6.872140138605703,6.5102890050673405,0.958736695253925
207,Canaries,TweetyNet,spectrogram,llb16,300,6.33135812854899,5.81076341808274,1.4003751911586437
208,Canaries,TweetyNet,spectrogram,llb16,360,6.457077729860376,6.21401595054789,0.7571809098250128
209,Canaries,TweetyNet,spectrogram,llb16,420,6.697930414126623,6.26211059426986,1.8105677881493185
210,Canaries,TweetyNet,spectrogram,llb16,480,6.9085350852249325,6.61319719561361,1.5662070220327722
211,Canaries,TweetyNet,spectrogram,llb16,540,6.027810950667553,6.0535099768373,0.8999589946253062
212,Canaries,TweetyNet,spectrogram,llb16,600,5.470700517299086,5.0132031943433795,1.0356602391120127
213,Canaries,TweetyNet,spectrogram,llb16,660,5.452442499692251,5.09673431925407,1.3038433712066186
214,Canaries,TweetyNet,spectrogram,llb3,120,8.487500951425263,8.75840088811467,1.736530718882379
215,Canaries,TweetyNet,spectrogram,llb3,180,6.729289754271953,6.97143934378809,1.0532553247289427
216,Canaries,TweetyNet,spectrogram,llb3,240,6.023523505463389,5.63277985497849,1.5959437453960426
217,Canaries,TweetyNet,spectrogram,llb3,300,5.254908289908547,5.07017595412241,1.200886281940297
218,Canaries,TweetyNet,spectrogram,llb3,360,5.1160069932394325,5.000214976836189,0.9238823527436695
219,Canaries,TweetyNet,spectrogram,llb3,420,4.835591059527501,4.99938387763126,0.7159459260162833
220,Canaries,TweetyNet,spectrogram,llb3,480,4.102463714477393,3.94484645801738,0.663779496526365
221,Canaries,TweetyNet,spectrogram,llb3,540,4.520996979544116,4.70425633466795,0.5958356861655731
222,Canaries,TweetyNet,spectrogram,llb3,600,4.169370190984198,4.26760280516263,0.8552939366671438
223,Canaries,TweetyNet,spectrogram,llb3,660,3.7860738201047988,3.5391934934401403,0.6855459284005115
