,animal_id,branch_point,day,p_val,alpha
0,bl26lb16,"('b', 'c')",2012-04-20,0.94,0.005
1,bl26lb16,"('b', 'c')",2012-04-20,1.0,0.005
2,bl26lb16,"('b', 'c')",2012-04-20,0.927,0.005
3,bl26lb16,"('b', 'c')",2012-04-20,0.905,0.005
4,bl26lb16,"('b', 'c')",2012-04-20,0.964,0.005
5,bl26lb16,"('b', 'c')",2012-04-20,0.938,0.005
6,bl26lb16,"('b', 'c')",2012-04-20,1.0,0.005
7,bl26lb16,"('b', 'c')",2012-04-20,0.942,0.005
8,bl26lb16,"('b', 'c')",2012-04-20,0.952,0.005
9,bl26lb16,"('b', 'c')",2012-04-20,1.0,0.005
10,bl26lb16,"('b', 'c')",2012-04-21,0.897,0.005
11,bl26lb16,"('b', 'c')",2012-04-21,0.708,0.005
12,bl26lb16,"('b', 'c')",2012-04-21,0.923,0.005
13,bl26lb16,"('b', 'c')",2012-04-21,0.855,0.005
14,bl26lb16,"('b', 'c')",2012-04-21,1.0,0.005
15,bl26lb16,"('b', 'c')",2012-04-21,0.92,0.005
16,bl26lb16,"('b', 'c')",2012-04-21,0.96,0.005
17,bl26lb16,"('b', 'c')",2012-04-21,0.955,0.005
18,bl26lb16,"('b', 'c')",2012-04-21,0.924,0.005
19,bl26lb16,"('b', 'c')",2012-04-21,0.959,0.005
20,gr41rd51,"('e', 'f')",2012-06-20,0.763,0.005
21,gr41rd51,"('e', 'f')",2012-06-20,0.847,0.005
22,gr41rd51,"('e', 'f')",2012-06-20,1.0,0.005
23,gr41rd51,"('e', 'f')",2012-06-20,1.0,0.005
24,gr41rd51,"('e', 'f')",2012-06-20,1.0,0.005
25,gr41rd51,"('e', 'f')",2012-06-20,0.899,0.005
26,gr41rd51,"('e', 'f')",2012-06-20,1.0,0.005
27,gr41rd51,"('e', 'f')",2012-06-20,1.0,0.005
28,gr41rd51,"('e', 'f')",2012-06-20,0.911,0.005
29,gr41rd51,"('e', 'f')",2012-06-20,0.858,0.005
30,gr41rd51,"('e', 'f')",2012-06-22,1.0,0.005
31,gr41rd51,"('e', 'f')",2012-06-22,1.0,0.005
32,gr41rd51,"('e', 'f')",2012-06-22,0.851,0.005
33,gr41rd51,"('e', 'f')",2012-06-22,0.853,0.005
34,gr41rd51,"('e', 'f')",2012-06-22,0.809,0.005
35,gr41rd51,"('e', 'f')",2012-06-22,0.757,0.005
36,gr41rd51,"('e', 'f')",2012-06-22,0.868,0.005
37,gr41rd51,"('e', 'f')",2012-06-22,0.862,0.005
38,gr41rd51,"('e', 'f')",2012-06-22,0.842,0.005
39,gr41rd51,"('e', 'f')",2012-06-22,0.955,0.005
40,gr41rd51,"('e', 'f')",2012-06-23,0.571,0.005
41,gr41rd51,"('e', 'f')",2012-06-23,0.587,0.005
42,gr41rd51,"('e', 'f')",2012-06-23,0.909,0.005
43,gr41rd51,"('e', 'f')",2012-06-23,0.781,0.005
44,gr41rd51,"('e', 'f')",2012-06-23,0.817,0.005
45,gr41rd51,"('e', 'f')",2012-06-23,0.644,0.005
46,gr41rd51,"('e', 'f')",2012-06-23,0.701,0.005
47,gr41rd51,"('e', 'f')",2012-06-23,0.873,0.005
48,gr41rd51,"('e', 'f')",2012-06-23,0.946,0.005
49,gr41rd51,"('e', 'f')",2012-06-23,0.783,0.005
50,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
51,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
52,gy6or6,"('e', 'f')",2012-03-23,0.966,0.005
53,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
54,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
55,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
56,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
57,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
58,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
59,gy6or6,"('e', 'f')",2012-03-23,1.0,0.005
60,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
61,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
62,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
63,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
64,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
65,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
66,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
67,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
68,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
69,gy6or6,"('e', 'f')",2012-03-24,1.0,0.005
70,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
71,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
72,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
73,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
74,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
75,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
76,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
77,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
78,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
79,gy6or6,"('e', 'f')",2012-03-26,1.0,0.005
80,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
81,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
82,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
83,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
84,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
85,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
86,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
87,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
88,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
89,or60yw70,"('e', 'f')",2012-09-27,1.0,0.005
90,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
91,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
92,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
93,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
94,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
95,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
96,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
97,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
98,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
99,or60yw70,"('e', 'f')",2012-09-29,1.0,0.005
100,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
101,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
102,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
103,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
104,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
105,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
106,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
107,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
108,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
109,or60yw70,"('e', 'f')",2012-09-30,1.0,0.005
